Key,Date,mmdd,DayOfTheWeek,Area,Distance,Timestamp,Tip,OrderAmount,TipPercent,Housing,GenderOfTipper,Cash/Credit_Tip,Cash/Credit_Order,GenderOfDeliverer,PersonWhoDelivered,Area(text),Latitude,Longitude,month
457,42232,816,Sunday,3,2.1,0.961805556,0,20.59,0,Apartment,Male,-,Cash,Female,Sammie,Garden City,43.633857,-116.24628,Aug
458,42244,828,Friday,2,2.4,0.961805556,2.44,17.56,0.138952164,House,Male,Cash,Cash,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
459,42273,926,Saturday,1,2.7,0.961805556,3,18.9,0.158730159,House,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Sep
460,42293,1016,Friday,7,3.1,0.961805556,3.52,16.48,0.213592233,House,Male,Cash,Cash,Female,Sammie,West of Gary/Glennwood,43.672328,-116.286124,Oct
461,42253,906,Sunday,9,0.4,0.960416667,6,19.41,0.309119011,Apartment,Male,Credit,Credit,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Sep
462,42267,920,Sunday,1,4,0.959027778,2,27.37,0.073072707,Apartment,Male,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Sep
463,42245,829,Saturday,6,1.3,0.956944444,3,18.37,0.163309744,House,Male,Cash,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
464,42254,907,Monday,5,0.5,0.95625,3.52,11.48,0.306620209,Business,Female,Cash,Cash,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Sep
465,42294,1017,Saturday,3,3.3,0.954861111,3.92,16.08,0.243781095,House,Male,Cash,Cash,Male,Angel,Garden City,43.633857,-116.24628,Oct
466,42225,809,Sunday,3,2.2,0.953472222,2.87,22.13,0.129688206,Apartment,Male,Cash,Cash,Female,Sammie,Garden City,43.633857,-116.24628,Aug
467,42272,925,Friday,3,2.2,0.953472222,2.33,32.67,0.071319253,Apartment,Female,Cash,Cash,Male,Angel,Garden City,43.633857,-116.24628,Sep
468,42230,814,Friday,3,2.8,0.952777778,5,24.72,0.202265372,Business,Male,Credit,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Aug
469,42233,817,Monday,2,3.3,0.952777778,2,25.59,0.07815553,Hotel,Male,Credit,Credit,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
470,42261,914,Monday,7,3.1,0.952083333,2.29,15.71,0.145767027,House,Male,Cash,Cash,Female,Sammie,West of Gary/Glennwood,43.672328,-116.286124,Sep
471,42286,1009,Friday,5,1.4,0.951388889,4.52,23.48,0.192504259,House,Female,Cash,Cash,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Oct
